Harassment by seniors,Low pay,Bad quality labs,Pressure to get results,Pay them more,Separate cabins,To become an IVF clinic owner
Work pressure,Salary,Accreditation,Salary,Accreditation,Less pressures,Embryology laboratory director
demanding schedule,clinic support,staff retention,burnout,staff lab appropriately,electronic witness system,To use my embryology training/knowledge in a more administrative role - perhaps in training or sales support.  I'd like to stay in embryology but have a more flexible schedule. I would also consider per diem work.
"Fertilization, cleavage to blastocyst ratio, take home baby score.",Perfect team.,A good clinician,A well defined updated ivf lab.,Maintaining family like relations with patients.,Dont rush for cycles.. do less but do the best with results.,"Being an Embryologist, goal is to give every couple, the smile for which they come to us ""baby"". "
clever hands,multi-tasking work,"to be up to date in knowledge, new techniques etc.",experience,Better standing/respect/recognition in regard to gynecologists,"Better salary, especially regarding weekend duties",Be an excellent (leading) embryologist in an excellent clinic with excellent results and give knowledge to young embryologists/technicians
Fail ferts,Equipment is not ergonomic,Profession Not recognized in some countries,People who works as embryologist but they are not specialized,More ergonomic equipment,Reduce neck/back injuries,Be fully trained and get good results
To standardize doctors practice,Managing patient expectation especially for those poor prognosis cases,Embryologists are treated as inferior healthcare provider compare to medical doctors,Overwhelming with responsibilities,more AI based techniques to increase efficiency of embryology work,Lesser processing works when dealing with management or other department,To be financial independent
NA,NA,NA,NA,NA,NA,NA
Enough staff,Climate control,Quality,Costs,None,None,Improving my team
Clinician decision in embryology related,IVF under Management control completely,EMBRYOLOGY certification,Not having specific weekoffs,Required specific weekoffs,More than 1 senior for an IVF Unit,Manager in IVF chain
Worry about making a mistake,Being too busy,Lack of affordable on-campus postgraduate courses,Countries with no regulations,recommendations for appropriate staffing levels,recommendations for appropriate job descriptions,To provide care and information and support to patients so they feel they are not a number in the system. To lead and develop my team to fulfil their goals and objectives.
Long hrs,Ignorance of clinicians in ivf lab,Improving their career,Income,Having a system for career improvement,To be part of decision making in ivf clinic,To be a partner in ivf clinic which will inhance  my motivation for better results
Working under responsibility pressure,Working under time pressure,NA,NA,Less daily working hours but more staff to rotate,Investing in the best equipment,Own my own clinic or become a senior embryologist for a big company
Dedication to work,Rarely get holiday,Pay,Holiday,Increase pay skill,Holiday issue,Successful in my field
Salary,Upgradation of lab,Less no of embryologist,Udgradation of lab and knowledge,Not always possible to give good result,No centre by non medicos,Become an good embryologist with biopsy knowledge
Embryologist are the scape goat for not getting pregnancy positive,Embryologist are not treated properly,Unwritten curse - Embryologist does not teaches other Embryologist except very few,Standing for longer time,Treat them well and induce the habit of teaching,"Pay them good, respect them and give them the work life balance",IVF director
Responsability,Concentration,Experience,Information,Information,Experience,Help patient to have a healthy baby
All fertilized oocytes,Make the patient to take home baby,Getting good quality embryo,knowing all the embryology lab technique,always excited to work in the lab,always give the best,Success to help the patient to get the baby
